mixture_ID,mixture_ref_1,mixture_ref2_1
01fo030t-2_01ia0110-0,train/01f/01fa010a-0.wav,train/01i/01io0309-0.wav
20bc0108-2_01ic0209-4,train/20b/20bc010c-0.wav,train/01i/01ic020b-4.wav
20ta010r-2_01fo0312-4,train/20t/20to0104-0.wav,train/01f/01fa0103-2.wav
01ac020e-0_01go031c-0,train/01a/01ac0214-2.wav,train/01g/01gc0218-0.wav
01la010x-0_407o030y-0,train/01l/01lo030j-0.wav,train/407/407c020z-4.wav
011a010m-0_40go030i-0,train/011/011o0306-2.wav,train/40g/40gc0216-0.wav
20bo010c-8_025o0310-6,train/20b/20bo010r-0.wav,train/025/025o0306-4.wav
01gc0210-0_01ao030r-8,train/01g/01gc0202-0.wav,train/01a/01aa010e-0.wav
40ga0107-0_40ho030l-2,train/40g/40gc0208-0.wav,train/40h/40hc0202-0.wav
011c0205-0_01go0311-0,train/011/011c020l-2.wav,train/01g/01go030l-4.wav
20ma010f-0_01zo030q-6,train/20m/20mo010f-2.wav,train/01z/01zc021c-4.wav
01ko030u-0_028c021d-2,train/01k/01ka0109-0.wav,train/028/028c0214-4.wav
01do030e-0_20ro010d-0,train/01d/01dc0202-0.wav,train/20r/20ra010p-0.wav
20no010q-6_02eo030x-0,train/20n/20no010k-4.wav,train/02e/02ec0205-0.wav
20ia0113-0_016c0218-4,train/20i/20io010p-0.wav,train/016/016a0102-2.wav
01pc020f-2_018o030y-2,train/01p/01pc020u-2.wav,train/018/018a010f-0.wav
405o0316-0_014o0316-0,train/405/405o0317-4.wav,train/014/014a0106-0.wav
40oo031c-2_019c020z-0,train/40o/40oa010r-0.wav,train/019/019o030k-0.wav
024c0213-2_01fc020n-0,train/024/024c021b-0.wav,train/01f/01fc020s-0.wav
20kc010p-0_40hc0218-0,train/20k/20kc0104-0.wav,train/40h/40ho030t-2.wav
01co0309-2_01uc0212-0,train/01c/01co030n-8.wav,train/01u/01uo0307-2.wav
401o030z-8_205a0107-2,train/401/401c020i-0.wav,train/205/205o010h-2.wav
01bo030u-0_018o030a-6,train/01b/01bo030d-2.wav,train/018/018o0314-0.wav
023a010h-2_20sc010b-4,train/023/023o030v-0.wav,train/20s/20sa010w-0.wav
01vo0301-8_01lc0206-6,train/01v/01vo0307-4.wav,train/01l/01lo030m-0.wav
026o030m-0_40do030f-0,train/026/026c0203-2.wav,train/40d/40dc020l-0.wav
40ko030j-4_015a010c-0,train/40k/40kc020j-2.wav,train/015/015a010u-0.wav
407o030t-0_40fc020t-2,train/407/407o030j-4.wav,train/40f/40fo030z-0.wav
029c0204-0_205o010i-2,train/029/029o030p-10.wav,train/205/205o0106-8.wav
20eo010n-0_01ic020f-2,train/20e/20ec010f-0.wav,train/01i/01ia010m-0.wav
40no0304-4_014c020k-0,train/40n/40no030a-6.wav,train/014/014o030k-12.wav
01oo0308-2_028c0214-2,train/01o/01oo030t-2.wav,train/028/028c0215-0.wav
01uo0309-0_01xc020h-0,train/01u/01uc0219-0.wav,train/01x/01xc021c-2.wav
01ta010b-0_02dc020t-2,train/01t/01ta010p-4.wav,train/02d/02do0307-4.wav
01xa010g-2_40ec0209-0,train/01x/01xo0319-6.wav,train/40e/40ea010d-0.wav
017a0104-0_20ua010p-0,train/017/017o0310-2.wav,train/20u/20uo010g-0.wav
40do030a-4_01na010o-6,train/40d/40do030x-0.wav,train/01n/01na010r-2.wav
40io030h-4_40nc020c-0,train/40i/40io030p-0.wav,train/40n/40na010a-0.wav
20ma010z-0_205o010e-0,train/20m/20ma010w-0.wav,train/205/205a010r-4.wav
01ic0212-0_02dc0219-0,train/01i/01io031f-0.wav,train/02d/02dc0206-0.wav
01za0112-0_01ic020w-0,train/01z/01zo030m-4.wav,train/01i/01ia0110-0.wav
01io030k-6_40ja010n-0,train/01i/01io030h-2.wav,train/40j/40ja010g-0.wav
02co0303-0_40fo030j-4,train/02c/02cc020b-0.wav,train/40f/40fo030p-2.wav
01bc0204-0_01vc0219-4,train/01b/01ba010l-0.wav,train/01v/01vo0317-2.wav
01fo030m-6_408a010h-0,train/01f/01fc0202-16.wav,train/408/408c020t-0.wav
406o030j-2_205c010b-4,train/406/406a0109-0.wav,train/205/205a010t-0.wav
204a0104-0_01jc021d-0,train/204/204a010s-0.wav,train/01j/01jo0301-4.wav
40oo0301-6_01gc021d-2,train/40o/40oo0311-0.wav,train/01g/01go031e-8.wav
20ka010y-2_40do0307-0,train/20k/20ka010p-0.wav,train/40d/40dc020j-0.wav
01ec0206-4_401o031a-0,train/01e/01eo0311-2.wav,train/401/401c020j-2.wav
20co010i-0_409a010m-0,train/20c/20ca010s-0.wav,train/409/409o030v-2.wav
01ao0309-0_20ja010f-2,train/01a/01aa010r-0.wav,train/20j/20ja010i-0.wav
029o0317-0_205a010i-2,train/029/029c020t-0.wav,train/205/205a010c-0.wav
024o030l-2_40ja0102-0,train/024/024o030z-2.wav,train/40j/40jo0319-6.wav
40gc0206-0_01bc020m-4,train/40g/40go030w-0.wav,train/01b/01bc0209-6.wav
01co0306-8_01fc020q-4,train/01c/01cc0208-2.wav,train/01f/01fo031c-2.wav
20ec0102-2_20to010j-0,train/20e/20eo010n-0.wav,train/20t/20tc010a-0.wav
01jc0212-0_40po031c-0,train/01j/01jc0211-2.wav,train/40p/40pa010l-0.wav
025o0310-12_20eo0109-4,train/025/025o0303-8.wav,train/20e/20ea010e-0.wav
01mo030n-0_014c020r-2,train/01m/01mo0313-0.wav,train/014/014o030c-2.wav
01kc0219-2_206a010d-0,train/01k/01kc020c-0.wav,train/206/206o010e-6.wav
01uc0204-0_01fa010m-0,train/01u/01uc020z-2.wav,train/01f/01fc020d-4.wav
01so0310-2_20ra010m-0,train/01s/01so0302-2.wav,train/20r/20ro010o-2.wav
409a010v-0_024o0305-6,train/409/409c020e-0.wav,train/024/024o031f-4.wav
01lo030r-0_40jc020a-0,train/01l/01lo030a-6.wav,train/40j/40jo030j-0.wav
013c0209-2_40do0301-2,train/013/013c0202-0.wav,train/40d/40dc021d-2.wav
01so030l-0_01fo0301-4,train/01s/01sc020r-0.wav,train/01f/01fo0318-6.wav
023c0205-2_40oo030n-2,train/023/023o0316-6.wav,train/40o/40oc020o-2.wav
20qa010m-0_40ka010y-0,train/20q/20qc0108-8.wav,train/40k/40kc021b-2.wav
01kc0208-4_011o030l-8,train/01k/01ko030m-8.wav,train/011/011c020x-0.wav
01jc020z-0_40go0309-0,train/01j/01jc020m-0.wav,train/40g/40go0304-4.wav
02ao0318-2_20oo010n-4,train/02a/02ac020y-0.wav,train/20o/20oc010d-0.wav
018o0315-4_028c020w-0,train/018/018o030z-0.wav,train/028/028c021b-0.wav
029o030b-4_01xo030q-0,train/029/029o0315-4.wav,train/01x/01xo031b-0.wav
01zc020j-0_40mo031b-0,train/01z/01zc020m-0.wav,train/40m/40mc0215-0.wav
015o0308-2_025o030y-8,train/015/015a010b-0.wav,train/025/025o0308-0.wav
02bo030s-4_40ic0219-2,train/02b/02ba010c-2.wav,train/40i/40io031d-2.wav
40la0106-0_015a0106-0,train/40l/40lo030t-2.wav,train/015/015o0310-8.wav
20nc0104-2_206a0105-2,train/20n/20na010m-0.wav,train/206/206o0105-2.wav
40fo0302-0_40ia010x-0,train/40f/40fo030n-4.wav,train/40i/40ic021a-0.wav
01jc0208-0_01co030m-0,train/01j/01jo0310-0.wav,train/01c/01co031a-6.wav
029o0312-2_020c021b-0,train/029/029c0206-2.wav,train/020/020c020t-0.wav
01kc020p-8_206o010c-0,train/01k/01kc0214-2.wav,train/206/206c0108-4.wav
40jc020m-0_20ca010t-2,train/40j/40ja0112-0.wav,train/20c/20ca010n-2.wav
20cc010h-0_206a010i-0,train/20c/20co010a-0.wav,train/206/206a0106-2.wav
018a0105-0_40gc020n-0,train/018/018c021c-0.wav,train/40g/40gc0211-6.wav
02dc020z-0_20dc010j-2,train/02d/02dc020e-2.wav,train/20d/20do0101-8.wav
02ao030z-2_409a010n-0,train/02a/02ao030a-0.wav,train/409/409c0216-0.wav
014o031d-2_01xc0214-2,train/014/014c020y-4.wav,train/01x/01xo0302-4.wav
40jo0319-4_20ja010h-2,train/40j/40jo030d-0.wav,train/20j/20ja010c-0.wav
40da010g-4_20sa0113-0,train/40d/40dc020i-0.wav,train/20s/20so010a-2.wav
01zo0314-0_408o030l-0,train/01z/01zo031e-0.wav,train/408/408a010n-0.wav
01ao030h-0_028o030z-0,train/01a/01ac020d-2.wav,train/028/028a0104-0.wav
20ec0107-0_01zo030z-2,train/20e/20ec010e-2.wav,train/01z/01zo030i-0.wav
01xc0214-6_01dc020c-2,train/01x/01xc020g-0.wav,train/01d/01dc0206-0.wav
20no010g-2_40eo0305-0,train/20n/20nc010c-2.wav,train/40e/40ec020m-0.wav
20kc010c-8_401c020o-0,train/20k/20ko0109-0.wav,train/401/401c020v-0.wav
01jc020c-0_02ao030p-0,train/01j/01jo030x-2.wav,train/02a/02ac020v-2.wav
01xo031a-4_20ea0112-2,train/01x/01xa0111-0.wav,train/20e/20eo010m-2.wav
40aa0114-0_01ra0106-2,train/40a/40ac0219-2.wav,train/01r/01ra010s-0.wav
408a0101-0_20io010g-2,train/408/408a010a-0.wav,train/20i/20ic010a-0.wav
029c020i-2_20oo010a-2,train/029/029c020e-0.wav,train/20o/20oo010f-0.wav
403c0202-0_409c0209-0,train/403/403o030c-4.wav,train/409/409o030o-2.wav
40ac0206-6_40lo0314-2,train/40a/40ac020z-0.wav,train/40l/40lo030z-4.wav
40ga010c-0_013o0309-2,train/40g/40ga010y-0.wav,train/013/013o0311-0.wav
01oo0308-0_01lo030b-4,train/01o/01oo030p-0.wav,train/01l/01lc0213-2.wav
20kc010b-0_01cc020g-4,train/20k/20ka0114-2.wav,train/01c/01cc0214-0.wav
20bo010i-0_40ic0207-2,train/20b/20bc010i-0.wav,train/40i/40ia0114-0.wav
02bo030r-2_01xo030q-0,train/02b/02bc021e-4.wav,train/01x/01xa010x-0.wav
20sa010b-0_011o0304-8,train/20s/20so010o-0.wav,train/011/011o030m-8.wav
01ya0110-0_408a010s-0,train/01y/01yo0316-0.wav,train/408/408c021c-2.wav
20uo010r-0_01yc020o-0,train/20u/20uo010g-0.wav,train/01y/01yo030q-0.wav
205c0106-6_40fa0101-0,train/205/205o0105-8.wav,train/40f/40fc0214-0.wav
40hc020w-4_01ya010z-0,train/40h/40ha010s-0.wav,train/01y/01yc020c-0.wav
018c021g-0_408o0307-2,train/018/018o030v-0.wav,train/408/408o030t-0.wav
209a010p-0_01fc0212-0,train/209/209o010j-2.wav,train/01f/01fc020o-2.wav
02ec020d-4_40ac021c-0,train/02e/02ec020f-2.wav,train/40a/40ac020h-0.wav
401c0215-0_409o0305-0,train/401/401c0208-4.wav,train/409/409o030h-4.wav
01go030q-0_01jo0304-4,train/01g/01go031b-0.wav,train/01j/01jo030t-0.wav
028o030f-6_022c020p-0,train/028/028o030m-0.wav,train/022/022o030q-0.wav
20no010o-0_01da010v-0,train/20n/20no010h-4.wav,train/01d/01do0314-0.wav
40ha0105-2_01sc021b-0,train/40h/40hc020z-0.wav,train/01s/01sc020k-2.wav
011o0318-0_01yo030v-0,train/011/011c021a-2.wav,train/01y/01yc0219-4.wav
01nc021c-0_022o030a-6,train/01n/01nc0211-0.wav,train/022/022a010e-0.wav
407c021b-0_405o030d-2,train/407/407c0203-0.wav,train/405/405o031b-0.wav
01bo030v-2_408c021b-0,train/01b/01bo031c-4.wav,train/408/408a010b-0.wav
20eo010f-0_01yo030i-2,train/20e/20ea010v-2.wav,train/01y/01yo0302-4.wav
014c020p-0_208c0101-0,train/014/014a0108-0.wav,train/208/208o010d-4.wav
020c020i-0_01mo0312-2,train/020/020o0309-0.wav,train/01m/01mc021f-2.wav
02dc021e-2_01va010z-2,train/02d/02dc020a-6.wav,train/01v/01vc020d-2.wav
01ta010o-0_01fc020z-2,train/01t/01to0313-4.wav,train/01f/01fc0208-0.wav
408o030x-0_406c020b-0,train/408/408c0209-0.wav,train/406/406c020q-0.wav
01yc0204-6_01ro030w-0,train/01y/01ya0113-0.wav,train/01r/01ro0313-0.wav
20na0107-4_025o030s-6,train/20n/20no010l-0.wav,train/025/025o0309-8.wav
401c020s-0_024a0113-2,train/401/401o030k-2.wav,train/024/024a0108-0.wav
019c021f-0_01wo030z-2,train/019/019o0315-0.wav,train/01w/01wc020c-0.wav
40ho030f-2_40dc021c-0,train/40h/40hc020v-0.wav,train/40d/40do030e-4.wav
01oc020v-2_012o030s-2,train/01o/01oo030p-0.wav,train/012/012c021c-0.wav
40lo030l-2_20kc010n-2,train/40l/40lo0317-2.wav,train/20k/20ko0103-8.wav
406c020g-4_025o030n-0,train/406/406o030g-0.wav,train/025/025o0312-4.wav
40gc020o-0_014o030s-4,train/40g/40gc0206-0.wav,train/014/014c021e-2.wav
021c0217-4_40nc020q-2,train/021/021o0311-0.wav,train/40n/40na010z-0.wav
01ao0312-8_01oo030j-8,train/01a/01aa0110-0.wav,train/01o/01oc0204-0.wav
02bc020v-2_024c020y-2,train/02b/02bo030t-4.wav,train/024/024c020c-6.wav
20qc0103-2_403a010k-0,train/20q/20qa0102-0.wav,train/403/403o0314-10.wav
404c0201-0_01mo030r-4,train/404/404o030v-4.wav,train/01m/01mo0308-6.wav
029c0204-2_01po030d-0,train/029/029a010w-0.wav,train/01p/01pa010p-0.wav
20ia0107-2_01ao031a-0,train/20i/20ic010d-0.wav,train/01a/01aa010o-0.wav
01no0302-6_40ho030t-4,train/01n/01na010a-2.wav,train/40h/40hc0212-0.wav
404c021e-0_01va010c-0,train/404/404a010s-0.wav,train/01v/01vo0308-0.wav
20qa010c-4_029c0218-0,train/20q/20qc010i-0.wav,train/029/029a010a-0.wav
40da010g-0_403c020w-0,train/40d/40dc020j-0.wav,train/403/403c020i-4.wav
01la0102-0_016o030r-0,train/01l/01lc020d-2.wav,train/016/016a010b-2.wav
20bc0102-2_01so0317-4,train/20b/20bo010l-10.wav,train/01s/01so030z-0.wav
40bc021b-2_405c020s-0,train/40b/40bo030y-0.wav,train/405/405c0214-6.wav
01pa0103-0_40ja010y-0,train/01p/01pc0212-0.wav,train/40j/40jo030f-4.wav
01fo030r-10_40do0318-0,train/01f/01fo030z-2.wav,train/40d/40dc020b-2.wav
01ec0214-0_20ga010v-0,train/01e/01ea010j-0.wav,train/20g/20go010e-6.wav
40jc020h-0_012a010r-0,train/40j/40jo030d-0.wav,train/012/012a010c-0.wav
20pc0103-0_029o0309-0,train/20p/20pa0111-0.wav,train/029/029c020v-2.wav
014o030r-4_20ka010l-0,train/014/014o0312-8.wav,train/20k/20ko010m-2.wav
013a010v-0_406c020h-0,train/013/013a0107-0.wav,train/406/406c020s-0.wav
01na0102-8_01cc021d-2,train/01n/01no0304-4.wav,train/01c/01cc0204-0.wav
401a010c-0_01va010h-0,train/401/401c0203-0.wav,train/01v/01va0113-2.wav
403o031a-0_40ho030w-0,train/403/403o030g-2.wav,train/40h/40hc0218-0.wav
02dc020f-4_01ra010e-0,train/02d/02da010c-0.wav,train/01r/01rc0212-6.wav
01sa010j-0_40ga010o-2,train/01s/01so030d-4.wav,train/40g/40gc0216-2.wav
205a010d-0_01aa010a-0,train/205/205c010c-2.wav,train/01a/01aa0108-0.wav
01vc020q-0_405o0315-4,train/01v/01vo030y-2.wav,train/405/405o030g-2.wav
20bc010k-6_02ao0302-2,train/20b/20bo010a-0.wav,train/02a/02ao030y-0.wav
20kc010o-10_01pa010d-0,train/20k/20ko010i-8.wav,train/01p/01pc0213-2.wav
01uo030j-4_40aa010l-2,train/01u/01ua010i-2.wav,train/40a/40ac0211-0.wav
01ra0105-2_015o0313-0,train/01r/01ro030d-6.wav,train/015/015o030x-2.wav
20so0108-8_024a0108-0,train/20s/20so010k-0.wav,train/024/024a0113-0.wav
01mo030z-2_021c0215-0,train/01m/01mo0303-0.wav,train/021/021o030z-4.wav
028a010u-0_40ao031f-0,train/028/028o031a-0.wav,train/40a/40ac020q-4.wav
018o031b-2_209c0101-0,train/018/018o030d-6.wav,train/209/209a010g-0.wav
01ec020r-0_01da0110-0,train/01e/01ea0103-0.wav,train/01d/01dc0218-2.wav
01lc021e-4_018o0315-0,train/01l/01lo030z-8.wav,train/018/018o0318-6.wav
023a010k-0_01pa010h-0,train/023/023c020s-0.wav,train/01p/01pa010z-0.wav
20ao0103-0_01po030b-0,train/20a/20ao010d-0.wav,train/01p/01po030y-0.wav
